Model,Horizon,MSE_mean,MSE_std,MSE_q25,MSE_median,MSE_q75,MAE_mean,MAE_std,MAE_q25,MAE_median,MAE_q75,sMAPE_mean,sMAPE_std,SampleCount
S-Naive,4,1.2856246811763041,1.9551498524686737,0.05834635750000005,0.699359933888889,1.680300463333333,0.8691108730158732,0.7406457840955473,0.2409250000000001,0.8356833333333333,1.29625,61.40768994965065,45.99076215984217,30
S-Naive,5,1.3955559337900605,2.2305181336628808,0.048252723333333324,0.7570585288888889,1.6055963536111115,0.902309761904762,0.7755263134076682,0.21965000000000012,0.8653333333333333,1.2668083333333335,62.187850160022,49.13034660030244,30
S-Naive,6,1.3546697370281557,1.7899986583397138,0.16847237333333348,0.7051796487556692,1.6765352269444445,0.9265697619047619,0.7164121911340027,0.41020000000000023,0.8397130952380953,1.2946583333333332,73.13719008898995,49.33008263001883,30
S-Naive,7,1.0808448288270975,2.251251207896153,0.02745952777777775,0.2727898627777777,1.0553789769444444,0.7165930952380953,0.7660956755889254,0.16566666666666668,0.51515,1.0265916666666666,62.45416115483652,46.10452907853035,30
S-Naive,8,0.34388877810222973,0.6213126423614023,0.004413583611111075,0.05483416222222215,0.3203734374999999,0.39028865079365077,0.44516197807233876,0.06490833333333328,0.23416666666666655,0.558125,42.59241743818245,39.248365648188674,30
S-Naive,9,0.5850447946472033,1.1681882981500444,0.004846963333333275,0.0422238277777777,0.5137647762429137,0.49619753968253966,0.5920444964581728,0.06524999999999995,0.1993999999999999,0.7167565476190475,55.16246104513725,46.55325426541652,30
S-Naive,10,0.4773409408852985,0.9187303051332496,0.006052888611111025,0.07233494277777769,0.3805040952777777,0.4610513492063492,0.5233571282960089,0.0738916666666667,0.2689499999999999,0.6166416666666665,56.31923479094323,45.13498485643614,30
S-Naive,11,0.39959313692592596,0.8250667959851586,0.0006462711111110999,0.021695895555555497,0.25256280999999997,0.38071666666666665,0.513253271465948,0.025366666666666652,0.14696666666666658,0.50255,47.8393094712979,46.52595136953781,30
S-Naive,12,0.2506659938888888,0.5624320542331843,0.00019498694444439998,0.00239627611111105,0.0569791111111111,0.2658233333333333,0.4315217052251947,0.0139583333333333,0.04894999999999995,0.2383333333333333,37.20750149304813,45.33772103881026,30
S-Naive,13,0.32365527633333335,1.2390972881631188,0.000127773333333325,0.0025206799999999497,0.023335543333333274,0.2473722222222222,0.5210687888993222,0.011299999999999975,0.05019999999999995,0.15269999999999992,29.306122920701352,40.02169220163511,30
S-Naive,14,0.21351590477777774,0.4968209999155273,0.00410848527777775,0.0832412544444444,0.19254909194444442,0.31940555555555555,0.3396184408573398,0.0627583333333333,0.2884,0.4384083333333333,52.65029798887517,37.22594474943435,30
S-Naive,15,1.1716604982962964,1.231356734328427,0.002151847777777775,1.1880659672222222,2.2650772552777774,0.8198799999999999,0.7188045275721611,0.04478333333333333,1.0899833333333333,1.5012583333333331,71.17404513920818,55.32784077360601,30
