OriginIndex,Horizon,Reference,Baseline,LossDifferential
14,16,PGF-Net,DLinear,-0.03572791112763987
14,17,PGF-Net,DLinear,0.024173583024896195
14,18,PGF-Net,DLinear,-0.019641453700374192
14,19,PGF-Net,DLinear,0.0303395744992619
14,20,PGF-Net,DLinear,0.41881376076340326
14,21,PGF-Net,DLinear,0.3077903490860619
14,22,PGF-Net,DLinear,0.4529421331510945
14,23,PGF-Net,DLinear,0.4207000478292179
14,24,PGF-Net,DLinear,0.0021488760026217996
15,1,PGF-Net,DLinear,0.0301327526635599
15,2,PGF-Net,DLinear,0.0970549105888488
15,3,PGF-Net,DLinear,0.2572559795625428
15,4,PGF-Net,DLinear,0.597056941491612
15,5,PGF-Net,DLinear,0.4919953131816205
15,6,PGF-Net,DLinear,0.28668239679416296
15,7,PGF-Net,DLinear,0.024911671572576097
15,8,PGF-Net,DLinear,0.039905328939183
15,9,PGF-Net,DLinear,0.0091912804461209
15,10,PGF-Net,DLinear,0.32220859360662774
15,11,PGF-Net,DLinear,-0.19395732489947592
15,12,PGF-Net,DLinear,-0.170455309978294
15,13,PGF-Net,DLinear,-0.022777243424655695
15,14,PGF-Net,DLinear,0.0163892611227984
15,15,PGF-Net,DLinear,0.15140302821531199
15,16,PGF-Net,DLinear,0.1573337889228433
15,17,PGF-Net,DLinear,0.1500277546230353
15,18,PGF-Net,DLinear,0.0777646202860385
15,19,PGF-Net,DLinear,0.1781920202675199
15,20,PGF-Net,DLinear,0.6499559577949136
15,21,PGF-Net,DLinear,0.2919712349348509
15,22,PGF-Net,DLinear,-0.1228396190285326
15,23,PGF-Net,DLinear,0.25346364955870315
15,24,PGF-Net,DLinear,0.15349079263843257
16,1,PGF-Net,DLinear,0.094102098581623
16,2,PGF-Net,DLinear,0.1574739223796312
16,3,PGF-Net,DLinear,0.20898933182199012
16,4,PGF-Net,DLinear,0.47619506486325586
16,5,PGF-Net,DLinear,0.5265945012669677
16,6,PGF-Net,DLinear,0.2304942227586436
16,7,PGF-Net,DLinear,-0.001109359623504308
16,8,PGF-Net,DLinear,-0.0898277427910043
16,9,PGF-Net,DLinear,-0.19669937791702824
16,10,PGF-Net,DLinear,-0.019118924772563002
16,11,PGF-Net,DLinear,-0.006847052089885702
16,12,PGF-Net,DLinear,-0.02208791956448384
16,13,PGF-Net,DLinear,0.0025352190366668
16,14,PGF-Net,DLinear,-0.0413633448916381
16,15,PGF-Net,DLinear,0.2206953297793388
16,16,PGF-Net,DLinear,0.17419207541847181
16,17,PGF-Net,DLinear,0.0547611345828065
16,18,PGF-Net,DLinear,0.0080863728784006
16,19,PGF-Net,DLinear,0.05480465043881877
16,20,PGF-Net,DLinear,0.049522677414361616
16,21,PGF-Net,DLinear,0.04219256582177841
16,22,PGF-Net,DLinear,-0.1598667074317215
16,23,PGF-Net,DLinear,0.09806493239666109
16,24,PGF-Net,DLinear,-0.8269619172841638
17,1,PGF-Net,DLinear,-0.0073256785769877
17,2,PGF-Net,DLinear,-0.003938260374377696
17,3,PGF-Net,DLinear,0.0637265894827174
17,4,PGF-Net,DLinear,0.1759987729014608
17,5,PGF-Net,DLinear,0.14153796096135202
17,6,PGF-Net,DLinear,0.0237393625477992
17,7,PGF-Net,DLinear,-0.004184250120510524
17,8,PGF-Net,DLinear,0.029657443721207502
17,9,PGF-Net,DLinear,0.116785935822628
17,10,PGF-Net,DLinear,0.1258016307967413
17,11,PGF-Net,DLinear,0.2248313899333383
17,12,PGF-Net,DLinear,0.3373829834362438
17,13,PGF-Net,DLinear,0.1364495149814048
17,14,PGF-Net,DLinear,0.20753490396096191
17,15,PGF-Net,DLinear,0.00584777056155243
17,16,PGF-Net,DLinear,-0.0035316069574210995
17,17,PGF-Net,DLinear,-0.0027505268461179
17,18,PGF-Net,DLinear,0.0008100902035647488
17,19,PGF-Net,DLinear,0.0048535748321898
17,20,PGF-Net,DLinear,0.0836242669736243
17,21,PGF-Net,DLinear,0.086664898746346
17,22,PGF-Net,DLinear,0.0663048253651415
17,23,PGF-Net,DLinear,0.0410691797976002
17,24,PGF-Net,DLinear,0.0029451244505652
18,1,PGF-Net,DLinear,0.0205709607027708
18,2,PGF-Net,DLinear,0.316944332610427
