Horizon,MSE,MAE,sMAPE,Dataset,Model,OriginIndex,OriginTimestamp
4,0.084700401111111,0.2910333333333332,21.349015118595663,UCI Household,S-Naive,10,2010-07-03 17:00:00
5,0.0007362177777777,0.0271333333333332,2.41435561731711,UCI Household,S-Naive,10,2010-07-03 17:00:00
6,1.7059842844444446,1.3061333333333334,123.12333013453262,UCI Household,S-Naive,10,2010-07-03 17:00:00
7,2.235423684444444,1.4951333333333332,131.22494895749855,UCI Household,S-Naive,10,2010-07-03 17:00:00
8,1.8862275600000005,1.3734000000000002,120.60063171496036,UCI Household,S-Naive,10,2010-07-03 17:00:00
9,1.07371044,1.0362,93.82470077044232,UCI Household,S-Naive,10,2010-07-03 17:00:00
10,0.1011876099999998,0.3180999999999998,19.278982557564262,UCI Household,S-Naive,10,2010-07-03 17:00:00
11,0.974695471111111,0.9872666666666666,80.23731444110213,UCI Household,S-Naive,10,2010-07-03 17:00:00
12,1.5681718044444444,1.2522666666666666,124.66153375699396,UCI Household,S-Naive,10,2010-07-03 17:00:00
13,1.1600726044444447,1.0770666666666668,106.0000650887377,UCI Household,S-Naive,10,2010-07-03 17:00:00
14,1.119081884444444,1.0578666666666665,102.6855621755376,UCI Household,S-Naive,10,2010-07-03 17:00:00
15,1.19137225,1.0915,65.22713445247513,UCI Household,S-Naive,10,2010-07-03 17:00:00
16,0.9818167511111108,0.9908666666666666,111.99186162834724,UCI Household,S-Naive,10,2010-07-03 17:00:00
17,0.6669444444444445,0.8166666666666667,98.88601812912084,UCI Household,S-Naive,10,2010-07-03 17:00:00
18,1.2383980277777773,1.1128333333333331,111.58647603529684,UCI Household,S-Naive,10,2010-07-03 17:00:00
19,0.2794179599999999,0.5286,54.86437834799139,UCI Household,S-Naive,10,2010-07-03 17:00:00
20,0.2047864177777778,0.4525333333333334,86.49337328147261,UCI Household,S-Naive,10,2010-07-03 17:00:00
21,0.0144320177777777,0.1201333333333333,26.77563120235181,UCI Household,S-Naive,10,2010-07-03 17:00:00
22,0.0085254444444444,0.0923333333333333,22.101651375149785,UCI Household,S-Naive,10,2010-07-03 17:00:00
23,0.0079864011111111,0.0893666666666666,24.66761708606132,UCI Household,S-Naive,10,2010-07-03 17:00:00
24,0.0044488899999999,0.0666999999999999,19.32306475800688,UCI Household,S-Naive,10,2010-07-03 17:00:00
